Brief Description,Road,Project Year,City/Location,Length (miles),Functional Class,Improvement Type,AreaTypeFuncClass,Comments,xConstructionYear,State,County,Internal Project ID,GEOID,Area TypeCounty,TollType,Segment ID,Segment Description,Year of Observation,xMonth of Observation,Count,Count Units,xSource,Station Identifier,State,Traffic Forecast,Forecast Units,Forecast Year,Forecast Year Type,Year Forecast Produced,Forecasting Agency,Forecast Methodology,Post-processing Methodology,Post-processing Explanation,Count State,Opening Year,Opening Year Actual Count,PE
Replacement of Medium Level Bridge over Banana River along  S.R. 520 in Brevard County (M.P 13.600 to M.P. 14.200),SR 520,2001,Banana River Bridge,0.6,3,1,3,Replacement of Bridge,2001,12,Brevard,237506-2,12009,3,1,1,M.P 13.600 to M.P. 14.200,2001,February,31800,AADT,72 Hour Classification Count,701007,FL,32000,AADT,2003,1,2001,5,1,5,Model outputs were multiplied by Model Output Conversion Factor of 0.94,12,2003,32500,-0.0156
S.R. 5/US 1 Resurfacing Project in Brevard County Florida (M.P 7.300 to M.P 9.924),SR 5/US 1,2004,Brevard ,2.624,3,1,3,Resurfacing on Roadway ID 70020000,2004,12,Brevard ,237550-1,12127,3,1,1,M.P 7.300 to M.P 9.924,2001,October,35900,AADT,72 Hour Classification Count,700233,FL,39300,AADT,2004,1,2001,5,1,1,,12,2004,33000,0.1603
SR 513 Corridor Improvement Project (M.P 1.913 to M.P 5.059),SR 513,2004,Brevard ,2.432,4,1,3,,2004,12,Brevard ,237565-1,12127,3,1,1,M.P 1.913 to M.P 5.059,2004,June,15600,AADT,72 Hour Classification Count,700348,FL,18300,AADT,2010,1,2004,5,1,1,,12,2010,13400,0.2678
"SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",SR 501,2007,Brevard ,1.478,3,1,3,,2007,12,Brevard ,237567-1,12127,3,1,1,M.P 1.193 to Michigan Boulevard,2005,March,22800,AADT,72 Hour Classification Count,705149,FL,24300,AADT,2007,1,2005,5,1,1,,12,2007,23500,0.0329
"SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",SR 501,2007,Brevard ,1.478,3,1,3,,2007,12,Brevard ,237567-1,12127,3,1,2,Michigan Boulevard to M.P 2.671,2005,March,20200,AADT,72 Hour Classification Count,705206,FL,21500,AADT,2007,1,2005,5,1,1,,12,2007,22500,-0.0465
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),SR 5/U,2002,Brevard ,4.353,3,4,3,,2002,12,Brevard ,237576-1,12127,3,1,1,M.P 16.269-M.P. 20622,2002,June,51200,AADT,72 Hour Classification Count,700169,FL,56700,AADT,2007,1,2002,5,1,1,,12,2007,30500,0.4621
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),SR 5/US1,2002,Brevard ,4.493,3,4,3,,2002,12,Brevard ,237592-1,12127,3,1,1,M.P 20.622 to M.P. 25.115,2002,June,40200,AADT,72 Hour Classification Count,705064,FL,43500,AADT,2007,1,2002,5,4,1,Average of BATS and Trend,12,2007,37000,0.1494
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),SR 5/US 2,2010,Brevard ,3.842,3,4,3,,2010,12,Brevard ,237592-2,12127,3,1,1,M.P. 21.351-M.P. 22.135,2010,September,31600,AADT,72 Hour Classification Count,705125,FL,33600,AADT,2015,1,2010,5,4,1,Average of BATS and Trend,12,2015,26500,0.2113
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),SR 5/US2,2010,Brevard ,3.842,3,4,3,,2010,12,Brevard ,237592-2,12127,3,1,2,M.P. 22.135-M.P. 23.009,2010,September,32000,AADT,72 Hour Classification Count,705064,FL,34400,AADT,2015,1,2010,5,4,1,Average of BATS and Trend,12,2015,27000,0.2151
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),SR 5/U,2010,Brevard ,3.842,3,4,3,,2010,12,Brevard ,237592-2,12127,3,1,3,M.P. 23.009-M.P. 25.193,2010,September,31100,AADT,72 Hour Classification Count,700403,FL,33100,AADT,2015,1,2010,5,4,1,Average of BATS and Trend,12,2015,27500,0.1692
Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),SR 5 ,2001,Brevard ,0.11,3,2,3,,2001,12,Brevard ,237629-1,12127,3,1,1,M.P. 3.990 to M.P. 4.100,2001,February,47700,AADT,72 Hour Classification Count,705027,FL,48300,AADT,2002,1,2001,5,4,1,Average of BATS and Trend,12,2002,52500,-0.087
From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),SR 5(US1),2001,Brevard ,2.949,3,,,Only summary of the projection available,2001,12,Brevard ,237632-1,12127,3,1,1,M.P. 2.949,2001,,18100,AADT,72 Hour Classification Count,705147,FL,19500,AADT,2004,1,2001,5,,,,12,2004,14100,0.2769
CR 507 and SR 507 Reconstruction Project,SR 507,2002,Brevard ,0.234,3,1,3,,2002,12,Brevard ,237650-2,12127,3,1,1,CR 507,2002,November,29800,AADT,72 Hour Classification Count,705131,FL,32300,AADT,2006,1,2002,5,4,1,,12,2006,32500,-0.0062
CR 507 and SR 507 Reconstruction Project,SR 507,2002,Brevard ,0.234,3,1,3,,2002,12,Brevard ,237650-2,12127,3,1,2,SR 507,2002,December,23600,AADT,72 Hour Classification Count,705131,FL,25500,AADT,2006,1,2002,5,4,1,,12,2006,32500,-0.2745
"The SR 507 – Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",SR 507,2006,Brevard ,0.17,3,4,3,,2006,12,Brevard ,237650-3,12127,3,1,1,M.P. 0.000 to M.P. 1.700,2006,April,32400,AADT,72 Hour Classification Count,700345,FL,36600,AADT,2011,1,2006,5,4,1,,12,2011,28100,0.2322
"Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",SR 100,2004,Flagler,2.679,3,4,1,Rural Arterial,2004,12,Flagler,237965-1,12035,3,1,1,(M.P. 0.000) to (M.P. 2.188),2004,May,9150,AADT,72 Hour Classification Count,735003,FL,9800,AADT,2006,1,2004,5,4,1,,12,2006,14900,-0.5204
Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),SR 35 ,2005,Marion,1.207,3,4,1,,2005,12,Marion,411256-3,12083,3,1,1,SR 35,2005,September,11500,AADT,72 Hour Classification Count,361009,FL,13300,AADT,2009,1,2005,5,1,1,,12,2009,14100,-0.0602
Add lanes and reconstruction Project on SR 35 (from north of CR 42 (M.P. 1.723) to beginning of 4 lanes (M.P. 3.887),SR 35 ,2006,Marion,2.164,3,4,1,,2006,12,Marion,411256-4,12083,3,1,1,SR 35,2006,January,11400,AADT,72 Hour Classification Count,361007,FL,13600,AADT,2011,1,2006,5,1,1,,12,2011,12200,0.1029
